Albania Tirana
Andorra Andorra_la_Vella
Armenia Ereván
Austria Vienna
Azerbaijan Baku
Belarus Minsk
Belgium Brussels
Bosnia_and_Herzegovina Sarajevo
Bulgaria Sofia
Croatia Zagreb
Cyprus Nicosia
Czechia Prague
Denmark Copenhagen
Estonia Tallin
Finland Helsinki
France Paris
Georgia Atlanta
Germany Berlin
Greece Athens
Hungary Budapest
Iceland Reikiavik
Ireland Dublin
Italy Rome
Kazakhstan Nur-Sultan
